26.930938;1
12.370001;1
21.6742;1
11.361934;1
11.019715;1
10.645127;1
16.557241;1
10.446205;0
11.560022;1
20.584174;0
17.299688;0
9.547669;1
8.36936;1
15.766691;1
19.487752;1
18.181812;1
20.180426;0
23.131143;1
11.562961;0
28.804756;0
11.253164;0
9.27038;1
19.825591;0
28.46334;2
26.695898;1
32.996919;1
18.78842;1
23.752516;2
20.521901;0
26.92936;0
19.272225;1
9.083554;1
21.28584;1
16.229424;1
22.447116;2
18.680745;1
12.939396;1
14.927644;1
14.866586;0
10.151674;0
11.917508;0
22.743724;1
21.039347;1
21.937872;2
12.170981;1
27.09896;0
16.363701;1
27.29989;0
19.470452;0
22.034479;0
11.019073;1
14.386034;0
23.42657;2
41.141701;0
14.675715;0
14.038867;1
29.283446;0
12.982006;0
37.750999;0
9.86656;1
38.50434;0
15.890418;1
14.232045;2
10.606795;1
14.648425;2
16.777024;0
19.407217;2
32.726731;1
22.53091;2
16.161351;1
21.449411;1
9.03127;1
41.516936;1
13.553569;1
14.717727;0
13.85389;1
9.264931;1
23.451907;1
29.162394;0
11.747501;0
18.400208;1
29.407305;1
19.931258;1
7.94529;1
23.281269;2
25.251935;0
7.69985;1
19.927853;1
22.537042;0
30.009819;2
26.522539;2
17.135529;0
16.322386;0
16.44782;1
13.451531;2
29.737354;0
12.894654;1
8.269137;1
18.729125;1
16.094013;0
