0;0;0;1;11.394122;{};[]
0;0;0;1;3.695934;{};[]
0.0;0;1;0;2.982598;{'type': 'person'};[]
0;0;0;1;3.645115;{};[]
0;0;0;1;4.091424;{};[]
0;0;0;1;3.756261;{};[]
0;0;0;1;5.24328;{};[]
0;0;0;1;4.436622;{};[]
0;0;0;1;3.873489;{};[]
0.0;0;1;0;3.011547;{'type': 'laptop'};[]
0;0;0;1;3.681379;{};[]
1.0;1;0;0;3.089429;{};[]
0;0;0;1;3.878359;{};[]
0;0;0;1;3.849311;{};[]
0;0;0;1;3.861982;{};[]
0;0;0;1;5.563327;{};[]
0.0;0;1;0;3.167336;{'type': 'tennis ball'};[]
0;0;0;1;3.78482;{};[]
0;0;0;1;3.756002;{};[]
0;0;0;1;3.923297;{};[]
0;0;0;1;3.790034;{};[]
0;0;0;1;3.693286;{};[]
0;0;0;1;4.004002;{};[]
0;0;0;1;3.29701;{};[]
0;0;0;1;3.783659;{};[]
0.0;0;1;0;3.02222;{'type': 'dogs'};[]
0;0;0;1;3.753824;{};[]
0;0;0;1;3.826338;{};[]
0;0;0;1;3.862004;{};[]
0;0;0;1;3.780371;{};[]
0;0;0;1;4.31319;{};[]
0;0;0;1;3.782576;{};[]
0;0;0;1;3.983662;{};[]
0;0;0;1;3.842805;{};[]
0;0;0;1;3.75469;{};[]
0;0;0;1;3.788811;{};[]
0.0;0;1;0;2.981188;{'type': 'wave'};[]
0;0;0;1;3.704569;{};[]
1.0;1;0;0;2.946071;{};[]
0;0;0;1;4.205092;{};[]
0;0;0;1;4.07904;{};[]
0;0;0;1;3.795326;{};[]
0;0;0;1;4.014742;{};[]
0;0;0;1;4.251762;{};[]
0;0;0;1;3.89347;{};[]
0;0;0;1;3.828983;{};[]
1.0;1;0;0;3.02602;{};[]
0;0;0;1;3.975131;{};[]
0;0;0;1;3.706677;{};[]
0;0;0;1;4.18745;{};[]
0;0;0;1;3.924731;{};[]
0;0;0;1;4.059959;{};[]
1.0;1;0;0;3.028656;{};[]
0;0;0;1;3.785447;{};[]
0;0;0;1;3.554901;{};[]
0;0;0;1;3.686984;{};[]
0;0;0;1;3.784398;{};[]
0;0;0;1;3.863153;{};[]
0;0;0;1;3.693848;{};[]
0;0;0;1;3.912469;{};[]
0;0;0;1;3.804218;{};[]
0;0;0;1;4.098677;{};[]
0;0;0;1;3.927677;{};[]
0;0;0;1;3.909671;{};[]
0;0;0;1;3.907842;{};[]
0.0;0;1;0;3.010025;{'type': 'couch'};[]
0;0;0;1;3.524863;{};[]
0.0;0;1;0;3.012928;{'type': 'horse'};[]
0.0;0;1;0;3.007844;{'type': 'tractor'};[]
0;0;0;1;3.695911;{};[]
0;0;0;1;4.205702;{};[]
1.0;1;0;0;3.039827;{};[]
0;0;0;1;3.75604;{};[]
0;0;0;1;3.987678;{};[]
0;0;0;1;4.22149;{};[]
0;0;0;1;4.112537;{};[]
0;0;0;1;3.780853;{};[]
0;0;0;1;3.754177;{};[]
0;0;0;1;3.603352;{};[]
1.0;1;0;0;3.00542;{};[]
0;0;0;1;3.867297;{};[]
1.0;1;0;0;3.070631;{};[]
0;0;0;1;4.027584;{};[]
0;0;0;1;3.846409;{};[]
0;0;0;1;3.802243;{};[]
0;0;0;1;3.364412;{};[]
0.0;0;1;0;3.056165;{'type': 'snowman'};[]
0;0;0;1;3.695398;{};[]
0;0;0;1;3.904746;{};[]
0;0;0;1;3.835705;{};[]
0;0;0;1;3.614072;{};[]
0;0;0;1;3.846974;{};[]
0;0;0;1;3.850203;{};[]
0;0;0;1;3.770036;{};[]
0;0;0;1;3.616879;{};[]
1.0;1;0;0;3.028616;{};[]
0;0;0;1;3.727109;{};[]
0;0;0;1;3.787378;{};[]
0;0;0;1;4.471333;{};[]
0;0;0;1;3.820181;{};[]
0.0;0;1;0;3.043604;{'type': 'table'};[]
0;0;0;1;5.256277;{};[]
0;0;0;1;4.647857;{};[]
